candidate,evaluation
asymmetry,FALSE
muscle fiber,FALSE
ftx muscle fiber,FALSE
st muscle fiber,FALSE
muscle fiber type,FALSE
single muscle fiber,FALSE
arm stroke,FALSE
underwater arm stroke,FALSE
breaststroke arm stroke,FALSE
left arm stroke,FALSE
backstroke arm stroke,FALSE
arm stroke pattern,FALSE
upsweep,FALSE
final upsweep,FALSE
long final upsweep,FALSE
propulsive final upsweep,FALSE
substantial final upsweep,FALSE
swimming performance,FALSE
good swim performance,FALSE
adolescent swim performance,FALSE
collegiate swim performance,FALSE
periodization swimming performance,FALSE
anaerobic swimming performance,FALSE
sprint swimming performance,FALSE
aerobic capacity,FALSE
aerobic metabolic capacity,FALSE
aerobic and anaerobic capacity,FALSE
competitive swimmer,FALSE
competitive crawl stroke swimmer,FALSE
elite competitive swimmer,FALSE
male competitive swimmer,FALSE
coaching application,FALSE
insweep,FALSE
fast twitch muscle fiber,FALSE
slow twitch muscle fiber,FALSE
forward velocity,FALSE
great forward velocity,FALSE
propulsive force,FALSE
dominant propulsive force,FALSE
combined propulsive force,FALSE
high-intensity,FALSE
high - intensity,FALSE
training load,FALSE
sport medicine,FALSE
backstroke swimmer,FALSE
three-peak backstroke swimmer,FALSE
elite backstroke swimmer,FALSE
training zone,FALSE
zone of endurance training,FALSE
anaerobic training zone,FALSE
aerobic training zone,FALSE
front view stroke pattern,FALSE
side view stroke pattern,FALSE
probable stroke pattern,FALSE
usa swimming coach,FALSE
overuse injury,FALSE
overuse shoulder injury,FALSE
overuse injury prevention,FALSE
sports-related overuse injury,FALSE
propulsive phase,FALSE
propulsive phase of insweep,FALSE
relay exchange time,FALSE
standardized relay exchange time,FALSE
short relay exchange time,FALSE
average relay exchange time,FALSE
anaerobic threshold,FALSE
aerobic and anaerobic threshold,FALSE
intermittent hypoxic exposure,FALSE
body composition,FALSE
body composition parameter,FALSE
swim performance,FALSE
swim performance datum,FALSE
shoulder pain,FALSE
isolated anterior shoulder pain,FALSE
intensity training,FALSE
low intensity training,FALSE
intensity interval training,FALSE
high intensity training,FALSE
moderate intensity training,FALSE
female swimmer,FALSE
female collegiate swimmer,FALSE
female division i swimmer,FALSE
collegiate female swimmer,FALSE
male and female swimmer,FALSE
elite female swimmer,FALSE
breaststroke swimmer,FALSE
elite breaststroke swimmer,FALSE
competitive swimming,FALSE
blood lactate,FALSE
blood lactate concentration,FALSE
velocity graph,FALSE
forward velocity graph,FALSE
mass forward velocity graph,FALSE
thoracic and lumbar alignment,FALSE
fast twitch fiber,FALSE
training volume,FALSE
volume and intensity of training,FALSE
aerobic metabolism,FALSE
aerobic and anaerobic metabolism,FALSE
anaerobic and aerobic metabolism,FALSE
coordination,FALSE
body roll,FALSE
considerable body roll,FALSE
streamline position,FALSE
underwater streamline position,FALSE
fiber type,FALSE
type of muscle fiber,FALSE
hand force,FALSE
average hand force,FALSE
depressed hand force,FALSE
hand force curve,FALSE
endurance training,FALSE
traditional endurance training,FALSE
swimming speed,FALSE
speed of breastroke swimming,FALSE
adduction,FALSE
slow twitch fiber,FALSE
coach-created motivational climate,FALSE
mastery-oriented motivational climate,FALSE
appl,FALSE
body mass,FALSE
body mass index,FALSE
maturational timing,FALSE
lumbar lordosis angle,FALSE
stroke cycle,FALSE
training effect,FALSE
effect of hiit training,FALSE
effect of altitude training,FALSE
upper limb,FALSE
upper and low limb,FALSE
dominant upper limb,FALSE
motor unit,FALSE
master swimmer,FALSE
competitive master swimmer,FALSE
journal of sport science,FALSE
mitochondrion,FALSE
biomechanic,FALSE
stroke length,FALSE
average stroke length,FALSE
collegiate swimmer,FALSE
horizontal,FALSE
aerobic and anaerobic endurance,FALSE
stroke rate,FALSE
fast stroke rate,FALSE
average stroke rate,FALSE
young swimmer,FALSE
shoulder adduction,FALSE
upper arm,FALSE
