#	type	key	freq
1	T	n: asymmetry	409
2	T	nn: muscle fiber	329
2	V[s]	nnn: ftx muscle fiber	24
2	V[s]	ann: st muscle fiber	7
2	V[s]	nnn: muscle fiber type	18
2	V[s]	ann: single muscle fiber	13
3	T	nn: swimming research	590
4	T	nn: arm stroke	205
4	V[s]	ann: underwater arm stroke	43
4	V[s]	nnn: breaststroke arm stroke	22
4	V[s]	ann: left arm stroke	18
4	V[s]	nnn: backstroke arm stroke	4
4	V[s]	nnn: arm stroke pattern	3
5	T	n: upsweep	201
6	T	an: final upsweep	115
6	V[s]	aan: long final upsweep	16
6	V[s]	aan: propulsive final upsweep	5
6	V[s]	aan: substantial final upsweep	5
7	T	nn: swimming performance	110
7	V[s]	ann: good swim performance	8
7	V[s]	ann: adolescent swim performance	4
7	V[s]	ann: collegiate swim performance	3
7	V[s]	nnn: periodization swimming performance	12
7	V[s]	ann: anaerobic swimming performance	7
7	V[s]	nnn: sprint swimming performance	6
8	T	n: taper	110
9	T	n: vo2max	103
10	T	an: aerobic capacity	94
10	V[s]	aan: aerobic metabolic capacity	7
10	V[s]	acan: aerobic and anaerobic capacity	4
11	T	n: downsweep	93
12	T	an: competitive swimmer	90
12	V[s]	annn: competitive crawl stroke swimmer	2
12	V[s]	aan: elite competitive swimmer	7
12	V[s]	aan: male competitive swimmer	4
13	T	nn: coaching application	86
14	T	n: insweep	84
15	T	annn: fast twitch muscle fiber	83
16	T	annn: slow twitch muscle fiber	80
17	T	an: forward velocity	78
17	V[s]	aan: great forward velocity	7
18	T	an: propulsive force	76
18	V[s]	aan: dominant propulsive force	8
18	V[s]	aan: combined propulsive force	2
19	T	n: high-intensity	148
19	V[m]	ann: high - intensity	13
20	T	nn: training load	71
21	T	nn: sport medicine	71
22	T	nn: backstroke swimmer	70
22	V[s]	nnn: three-peak backstroke swimmer	9
22	V[s]	ann: elite backstroke swimmer	6
23	T	nn: training zone	69
23	V[s]	npnn: zone of endurance training	4
23	V[s]	ann: anaerobic training zone	6
23	V[s]	ann: aerobic training zone	3
24	T	nn: stroke pattern	68
24	V[s]	nnn: arm stroke pattern	3
24	V[s]	annn: front view stroke pattern	4
24	V[s]	nnnn: side view stroke pattern	2
24	V[s]	ann: probable stroke pattern	3
25	T	nn: usa swimming	68
25	V[s]	nnn: usa swimming coach	12
26	T	nn: overuse injury	67
26	V[s]	nnn: overuse shoulder injury	10
26	V[s]+	nnn: overuse injury prevention	6
26	V[s]	ann: sports-related overuse injury	3
27	T	an: propulsive phase	66
27	V[s]	anpn: propulsive phase of insweep	6
28	T	n: handgrip	65
29	T	nnn: relay exchange time	65
29	V[s]	annn: standardized relay exchange time	10
29	V[s]	annn: short relay exchange time	9
29	V[s]	annn: average relay exchange time	4
30	T	n: breaststroke	193
31	T	n: sfps	64
32	T	an: anaerobic threshold	62
32	V[s]	acan: aerobic and anaerobic threshold	6
33	T	aan: intermittent hypoxic exposure	61
34	T	n: zubero	60
35	T	nn: body composition	59
35	V[s]	nnn: body composition parameter	5
36	T	n: olympiad	58
37	T	nn: swim performance	56
37	V[s]	nnn: periodization swimming performance	12
37	V[s]	ann: anaerobic swimming performance	7
37	V[s]	nnn: sprint swimming performance	6
37	V[s]	ann: collegiate swim performance	3
37	V[s]	ann: adolescent swim performance	4
37	V[s]	nnn: swim performance datum	3
38	T	nn: shoulder pain	55
38	V[s]	aann: isolated anterior shoulder pain	2
39	T	nn: intensity training	103
39	V[s]	ann: low intensity training	23
39	V[s]	nnn: intensity interval training	8
39	V[s]	ann: high intensity training	46
39	V[s]	ann: moderate intensity training	6
40	T	an: female swimmer	102
40	V[s]+	aan: female collegiate swimmer	2
40	V[s]	annn: female division i swimmer	2
40	V[s]+	aan: collegiate female swimmer	11
40	V[s]	acan: male and female swimmer	13
40	V[s]	aan: elite female swimmer	3
41	T	n: burnout	51
42	T	nn: breaststroke swimmer	50
42	V[s]	ann: elite breaststroke swimmer	4
43	T	n: hiit	50
44	T	an: competitive swimming	48
45	T	nn: blood lactate	48
45	V[s]	nnn: blood lactate concentration	3
46	T	nn: velocity graph	47
46	V[s]	ann: forward velocity graph	25
46	V[s]	aann: mass forward velocity graph	3
47	T	n: champaign	47
48	T	an: human kinetics	47
49	T	ann: high intensity training	46
50	T	nn: martin zubero	45
51	T	an: lumbar alignment	44
51	V[s]	acan: thoracic and lumbar alignment	13
52	T	n: physiol	44
53	T	ann: fast twitch fiber	44
53	V[s]	annn: fast twitch muscle fiber	83
54	T	ann: underwater arm stroke	43
55	T	nn: training volume	43
55	V[s]	ncnpn: volume and intensity of training	6
56	T	an: aerobic metabolism	43
56	V[s]	acan: aerobic and anaerobic metabolism	8
56	V[s]	acan: anaerobic and aerobic metabolism	3
57	T	n: coordination	41
58	T	nn: body roll	41
58	V[s]	ann: considerable body roll	2
59	T	nn: streamline position	122
59	V[s]	ann: underwater streamline position	42
60	T	nn: fiber type	40
60	V[s]	npnn: type of muscle fiber	9
60	V[s]	nnn: muscle fiber type	18
61	T	nn: hand force	40
61	V[s]	ann: average hand force	12
61	V[s]	ann: depressed hand force	6
61	V[s]	nnn: hand force curve	2
62	T	nn: endurance training	40
62	V[s]	ann: traditional endurance training	15
63	T	nn: swimming speed	40
63	V[s]	npnn: speed of breastroke swimming	4
64	T	n: adduction	39
65	T	a: abdominal	39
66	T	n: kjoc	39
67	T	ann: slow twitch fiber	38
67	V[s]	annn: slow twitch muscle fiber	80
68	T	an: motivational climate	38
68	V[s]	aan: coach-created motivational climate	3
68	V[s]	aan: mastery-oriented motivational climate	3
69	T	n: appl	38
70	T	nn: body mass	38
70	V[s]	nnn: body mass index	8
71	T	an: maturational timing	38
72	T	ann: lumbar lordosis angle	38
73	T	nn: stroke cycle	37
74	T	nn: training effect	37
74	V[s]	npnn: effect of hiit training	3
74	V[s]	npnn: effect of altitude training	2
75	T	n: menarche	37
76	T	an: upper limb	36
76	V[s]	acan: upper and low limb	10
76	V[s]	aan: dominant upper limb	3
77	T	nn: motor unit	35
78	T	nn: master swimmer	35
78	V[s]	ann: competitive master swimmer	3
79	T	npnn: journal of sport science	35
80	T	n: mitochondrion	34
81	T	n: asca	34
82	T	n: biomechanic	66
83	T	n: fina	33
84	T	n: chollet	33
85	T	nn: stroke length	32
85	V[s]	ann: average stroke length	4
86	T	an: collegiate swimmer	32
86	V[s]+	aan: collegiate female swimmer	11
86	V[s]+	aan: female collegiate swimmer	2
87	T	a: horizontal	64
88	T	acan: aerobic and anaerobic endurance	32
89	T	nn: stroke rate	62
89	V[s]	ann: fast stroke rate	4
89	V[s]	ann: average stroke rate	4
90	T	an: young swimmer	31
91	T	nn: shoulder adduction	31
92	T	an: upper arm	31
92	V[s]	acan: upper and low arm	2
93	T	an: elite swimmer	60
93	V[s]	aan: elite competitive swimmer	7
93	V[s]	aan: elite female swimmer	3
93	V[s]	aann: elite front crawl swimmer	3
93	V[s]	aan: senior elite swimmer	2
94	T	n: overtraining	60
95	T	an: present study	30
96	T	a: online	30
97	T	an: anaerobic capacity	30
97	V[s]	annn: anaerobic energy system capacity	2
97	V[s]	aan: anaerobic metabolic capacity	2
97	V[s]	acan: aerobic and anaerobic capacity	4
98	T	n: midline	29
99	T	npn: resistance of water	29
99	V[s]	nn: water resistance	8
100	T	n: ncaa	29
101	T	an: front crawl	113
101	V[s]	aan: simulated front crawl	3
102	T	n: rspg	28
103	T	aan: personal good time	28
104	T	nn: oxygen consumption	28
104	V[s]	ann: maximal oxygen consumption	7
104	V[s]	ann: resting oxygen consumption	5
105	T	n: hypoxia	28
106	T	an: low limb	28
106	V[s]	acan: upper and low limb	10
107	T	nn: swimming coach	28
107	V[s]	nnn: usa swimming coach	12
107	V[s]	ann: american swim coach	5
107	V[s]	ann: successful swim coach	4
108	T	n: variability	27
109	T	ann: anaerobic threshold velocity	27
110	T	nn: lactate threshold	27
110	V[s]	nnn: lactate threshold speed	4
111	T	ann: polar bear challenge	27
112	T	nn: swimming stroke	27
113	T	nn: sport exerc	27
113	V[s]	nnn: sport exerc psychol	6
114	T	an: aerobic training	27
114	V[s]	acan: aerobic and anaerobic training	3
115	T	nn: sprint training	26
115	V[s]	ann: repeated sprint training	3
116	T	nn: stroke technique	26
117	T	a: nutritional	26
118	T	a: symmetrical	25
119	T	n: impingement	25
120	T	nn: drag force	25
120	V[s]	ann: active drag force	2
121	T	an: underwater group	25
122	T	nn: swim coach	25
122	V[s]	nnn: usa swimming coach	12
123	T	ann: forward velocity graph	25
124	T	nn: high-intensity training	49
124	V[img]	ann: high intensity training	46
124	V[s]	nan: high-intensity intermittent training	6
125	T	n: metabolite	24
126	T	npan: capacity of slow twitch	24
127	T	r: bilaterally	24
128	T	nn: shoulder angle	24
129	T	an: propulsive sweep	23
130	T	nn: repeat set	23
131	T	ann: low intensity training	23
132	T	npn: journal of physiology	23
132	V[s]	npan: journal of applied physiology	29
132	V[s]	anpn: american journal of physiology	18
133	T	an: late maturers	23
134	T	a: en-2	23
135	T	nnn: team exchange time	23
136	T	n: flexion	23
137	T	an: competitive season	23
137	V[s]	aan: competitive collegiate season	2
138	T	ann: med sci sport	23
138	V[s]	nan: sci med sport	4
139	T	nn: crawl stroke	23
139	V[s]	nnn: crawl stroke swimming	6
139	V[s]	nnnn: sprint front crawl stroke	3
140	T	n: acclimatization	23
141	T	n: velocity	340
142	T	nn: pain scale	22
142	V[s]	ann: functional pain scale	9
142	V[s]	ann: self-reported pain scale	4
143	T	nn: arm recovery	22
144	T	an: vertical handgrip	22
144	V[s]	acan: horizontal or vertical handgrip	3
145	T	an: anaerobic metabolism	44
145	V[s]	acan: anaerobic and aerobic metabolism	3
145	V[s]	acan: aerobic and anaerobic metabolism	8
146	T	an: spinal alignment	22
147	T	npn: effect of training	22
147	V[s]+	nn: training effect	37
148	T	nnn: trunk muscle activity	22
149	T	an: athletic performance	22
150	T	nnn: breaststroke arm stroke	22
151	T	nn: repeat distance	21
152	T	n: cond	21
153	T	n: stager	21
154	T	a: curvilinear	21
155	T	nn: recovery time	21
155	V[s]	ann: adequate recovery time	4
156	T	n: anova	21
157	T	nn: performance improvement	21
158	T	n: yardage	21
159	T	an: psychological skill	21
160	T	an: bilateral asymmetry	21
161	T	nn: dolphin kick	20
161	V[s]	ann: underwater dolphin kick	3
162	T	an: previous study	20
163	T	nn: side view	20
163	V[s]	nnpn: side view of breaststroke	2
164	T	n: capparet	20
165	T	an: aerobic threshold	20
165	V[s]	acan: aerobic and anaerobic threshold	6
166	T	an: current study	20
167	T	n: outsweep	20
168	T	a: oxidative	19
169	T	npn: variant with foot	19
170	T	ann: front crawl swimming	19
171	T	nn: training strategy	19
172	T	n: bixler	19
173	T	n: myoglobin	19
174	T	nn: hand photo	19
174	V[s]	ann: left hand photo	4
174	V[s]	nnpn: hand photo of zubero	2
175	T	nn: colorado spring	19
176	T	nn: appl physiol	19
176	V[s]	nnnn: eur j appl physiol	11
177	T	nn: swim training	19
178	T	n: backstroke	415
178	V[m]+	nn: backstroke stroke	3
179	T	npn: range of motion	18
180	T	nn: swimming training	18
181	T	nn: state university	18
181	V[s]	nnn: ohio state university	6
182	T	anpn: american journal of physiology	18
183	T	nn: sport psychology	18
183	V[s]	ann: applied sport psychology	6
184	T	nn: muscle imbalance	18
185	T	nn: water temperature	18
186	T	nn: performance datum	18
186	V[s]	nnn: relay performance datum	4
186	V[s]	nnn: swim performance datum	3
187	T	ann: left arm stroke	18
188	T	nnn: muscle fiber type	18
189	T	an: active drag	18
190	T	an: bilateral difference	18
191	T	n: seifert	18
192	T	n: swimmer	2211
193	T	aan: human skeletal muscle	17
194	T	an: maximum effort	17
195	T	nn: body shape	17
195	V[s]	ann: linear body shape	2
196	T	nn: coaching behavior	17
197	T	nn: oxygen uptake	17
197	V[s]	ann: maximal oxygen uptake	5
198	T	nn: training speed	17
199	T	a: en-3	17
200	T	nn: training intensity	17
200	V[s]	ncnpn: volume and intensity of training	6
200	V[s]	ncnpn: duration and intensity of training	2
201	T	n: agonist	17
202	T	nn: swimming event	17
202	V[s]	ann: elite swimming event	3
203	T	an: intrinsic motivation	17
204	T	nn: training velocity	17
205	T	an: short rest	17
206	T	nn: swimming world	17
207	T	an: competitive stroke	33
208	T	n: three-peak	66
209	T	nn: backstroke event	16
210	T	an: backward force	16
211	T	annn: med sci sport exerc	16
212	T	nn: champion swimmer	16
213	T	a: sideward	16
214	T	a: downward	16
215	T	nn: novice swimmer	16
216	T	npn: mass of water	16
217	T	an: active recovery	16
217	V[s]	acan: active and passive recovery	3
218	T	nn: split time	16
219	T	n: maglischo	16
220	T	npn: angle of attack	16
221	T	nn: standing position	16
222	T	nn: dolphin club	16
223	T	n: pendergast	16
224	T	an: resistive drag	16
225	T	npn: purpose of study	16
225	V[s]	npan: purpose of present study	2
225	V[s]	anpn: primary purpose of study	2
226	T	an: good alignment	16
227	T	nn: endurance athlete	16
227	V[s]	ann: elite endurance athlete	5
228	T	an: fast speed	16
229	T	nn: strength cond	16
230	T	an: en-1 zone	95
231	T	n: kinematics	31
232	T	an: competitive level	31
232	V[s]	anpn: competitive level of swimmer	4
233	T	npn: side of body	15
234	T	nnn: swimming world championship	15
235	T	an: repeated sprint	15
236	T	ncnn: performance and body composition	15
237	T	ann: olympic gold medalist	15
238	T	nn: swimming velocity	15
238	V[s]	ann: maximum swimming velocity	6
239	T	nn: breathing problem	15
239	V[s]	ann: stress-related breathing problem	9
240	T	ann: traditional endurance training	15
241	T	nn: backstroke heat	15
242	T	nn: body fat	15
243	T	nn: lift force	15
